mid,duplicate_of,title
464,139,Hard Target
750,556,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
915,7,Sabrina
917,262,A Little Princess
957,191,The Scarlet Letter
1087,488,M. Butterfly
1113,1001,The Associate
1267,1082,The Manchurian Candidate
1288,764,This Is Spinal Tap
1291,1063,Indiana Jones and the Last Crusade
1337,426,Invasion of the Body Snatchers
1343,397,Cape Fear
1344,397,Cape Fear
1344,1343,Cape Fear
1370,1036,Die Hard
1381,1380,Grease
1388,1387,Jaws
1460,1018,That Darn Cat
1508,864,The Time Traveler's Wife
1573,702,Face/Off
1690,1320,Alien³
1815,949,East of Eden
1873,73,Les misérables
1878,702,Face/Off
1878,1573,Face/Off
1925,1211,Der Himmel über Berlin
1941,1411,Hamlet
1946,1270,Back to the Future
2001,2000,Lethal Weapon
2006,941,The Mask of Zorro
2019,47,Shichinin no samurai
2057,1015,Homeward Bound: The Incredible Journey
2059,1013,The Parent Trap
2078,362,The Jungle Book
2085,1367,One Hundred and One Dalmatians
2135,1911,Doctor Dolittle
2136,788,The Nutty Professor
2161,126,The Neverending Story III
2211,1040,Secret Agent
2212,2183,The Man Who Knew Too Much
2219,1892,A Perfect Murder
2234,1133,Kinsey
2310,2082,The Mighty Ducks
2315,1991,Bride of Chucky
2328,253,Interview with the Vampire: The Vampire Chronicles
2364,1882,Godzilla
2367,2366,King Kong
2389,1219,Psycho
2398,277,Miracle on 34th Street
2399,317,Santa Claus
2430,2429,Mighty Joe Young
2455,2454,The Fly
2525,1352,Albino Alligator
2553,332,Village of the Damned
2561,695,True Crime
2565,2559,The King and I
2628,761,Star Wars: Episode I - The Phantom Menace
2633,2617,The Mummy
2634,2617,The Mummy
2634,2633,The Mummy
2644,1339,Dracula
2648,273,Frankenstein
2664,426,Invasion of the Body Snatchers
2664,1337,Invasion of the Body Snatchers
2719,2550,The Haunting
2729,2025,Lolita
2747,2746,The Little Shop of Horrors
2764,2763,The Thomas Crown Affair
2797,1827,Big
2799,2798,Problem Child 2
2820,1411,Hamlet
2820,1941,Hamlet
2848,26,Othello
2889,808,"Mystery, Alaska"
2904,899,Singin' in the Rain
2929,306,Trois couleurs: Rouge
2939,1811,Niagara
2974,2814,The Vampire Bat
2995,2519,House on Haunted Hill
3008,2262,Last Night
3022,2425,The General
3027,3026,Slaughterhouse-Five
3034,1027,Robin Hood: Prince of Thieves
3058,2529,Planet of the Apes
3065,875,Nothing to Lose
3067,1518,Mujeres al borde de un ataque de nervios
3086,2017,Babes in Toyland
3091,533,Kagemusha
3126,3125,The End of the Affair
3175,704,Galaxy Quest
3179,130,Angela's Ashes
3193,247,Heavenly Creatures
3211,853,Evil Angels
3253,2850,Wayne's World
3307,2994,City Lights
3310,2420,The Karate Kid
3355,2451,The Ninth Gate
3379,3285,The Beach
3404,1721,Titanic
3413,1876,Deep Impact
3431,3430,Death Wish
3450,3,Grumpy Old Men
3487,3483,The Road to El Dorado
3546,1922,What Ever Happened to Baby Jane?
3587,70,From Dusk Till Dawn
3598,1411,Hamlet
3598,1941,Hamlet
3598,2820,Hamlet
3616,1107,Loser
3640,1785,King of New York
3668,1059,Romeo + Juliet
3673,3672,Benji the Hunted
3697,3527,Predator
3723,1411,Hamlet
3723,1941,Hamlet
3723,2820,Hamlet
3723,3598,Hamlet
3744,3729,Shaft
3752,3515,"Me, Myself & Irene"
3758,2853,Communion
3764,3763,F/X2
3767,3766,Missing in Action 2: The Beginning
3784,2420,The Karate Kid
3784,3310,The Karate Kid
3804,910,Some Like It Hot
3823,1657,Wonderland
3825,1891,Coyote Ugly
3844,1599,Steel Magnolias
3845,3343,Et Dieu... créa la femme
3866,922,Sunset Blvd.
3921,3830,Psycho Beach Party
3936,1655,The Phantom of the Opera
3947,3946,Get Carter
3949,2446,Requiem for a Dream
3959,1433,The Time Machine
3972,2924,Jui kuen II
4054,726,Save the Last Dance
4061,3174,Man on the Moon
4097,561,Killer Movie
4128,2695,The Lost Boys
4168,1142,Get Over It
4178,3271,Of Mice and Men
4258,3129,Sweet and Lowdown
4262,3184,Scarface
4277,1544,The Lost World: Jurassic Park
4285,4284,Frankie and Johnny
4290,703,Boy A
4332,50,The Usual Suspects
4340,3421,Animal House
4382,590,Dances with Wolves
4386,708,The Truth About Cats & Dogs
4404,1151,Faust: Love of the Damned
4474,3285,The Beach
4474,3379,The Beach
4479,1333,The Birds
4480,1334,The Blob
4545,4544,Short Circuit
4557,226,Tucker: The Man and His Dream
4560,3895,The Watcher
4579,2583,Cookie's Fortune
4581,460,Getting Even with Dad
4607,3110,North Country
4633,3948,Meet the Parents
4636,3150,Punisher: War Zone
4640,4027,"O Brother, Where Art Thou?"
4643,2529,Planet of the Apes
4643,3058,Planet of the Apes
4645,219,The Cure
4674,764,This Is Spinal Tap
4674,1288,This Is Spinal Tap
4703,4014,Chocolat
4718,2706,American Pie
4733,132,The Curse of the Jade Scorpion
4753,253,Interview with the Vampire: The Vampire Chronicles
4753,2328,Interview with the Vampire: The Vampire Chronicles
4783,2627,The Endurance: Shackleton's Legendary Antarctic Expedition
4792,3960,Thir13en Ghosts
4807,4575,The Hunting Party
4821,1776,Joy Ride
4838,4496,DOA: Dead or Alive
4844,2562,Bandits
4859,869,Kansas City
4873,2587,Waking Life
4876,3960,Thir13en Ghosts
4876,4792,Thir13en Ghosts
4914,3584,À bout de souffle
4921,261,Little Women
4929,3114,Toy Story
4941,243,Flash Gordon
4946,61,Eye for an Eye
4951,3461,Lord of the Flies
4963,4954,Ocean's Eleven
4967,4139,No Man's Land
4980,885,Bill & Ted's Bogus Journey
4995,3912,A Beautiful Mind
5042,4987,Spacehunter: Adventures in the Forbidden Zone
5046,2295,Impostor
5049,656,48 Hrs.
5056,824,Jeder für sich und Gott gegen alle
5062,3717,Gone in Sixty Seconds
5072,2010,Metropolis
5171,1433,The Time Machine
5171,3959,The Time Machine
5179,2479,Gloria
5239,629,Rude Boy
5240,2457,Running Scared
5253,5077,Cousins
5266,4055,Panic Room
5328,899,Singin' in the Rain
5328,2904,Singin' in the Rain
5336,3245,Soy Cuba
5352,1284,The Big Sleep
5360,4758,Soul Survivors
5379,1332,Believers
5388,1889,Insomnia
5389,1928,Spirit: Stallion of the Cimarron
5393,1952,Midnight Cowboy
5395,4768,"Dr. Mabuse, der Spieler - Ein Bild der Zeit"
5414,384,Bad Company
5426,384,Bad Company
5426,5414,Bad Company
5471,459,A Perfect Getaway
5480,3157,Stuart Little 2
5499,940,The Adventures of Robin Hood
5504,4232,Spy Kids 2: Island of Lost Dreams
5508,5004,24 Hour Party People
5521,4616,Lean on Me
5522,5094,Rollerball
5527,3621,Possession
5534,1798,Hush
5562,2167,Blade
5589,1642,Indian Summer
5637,125,Flirting with Disaster
5641,3462,Modern Times
5646,2020,Dangerous Liaisons
5655,782,The Fan
5662,5281,The Wrong Guy
5673,1119,Punch-Drunk Love
5679,2226,The Ring
5680,4871,Auto Focus
5714,1551,Buddy
5745,5488,Händler der vier Jahreszeiten
5754,1276,Cool Hand Luke
5773,2165,Your Friends & Neighbors
5774,5160,Night of the Zombies
5778,3201,Five Easy Pieces
5834,2947,Goldfinger
5881,3503,Solyaris
5895,1584,Contact
5926,1569,My Best Friend's Wedding
5970,5969,My Girl
5974,5867,The Thief of Bagdad
5990,596,Pinocchio
6005,3304,Blue Collar Comedy Tour: The Movie
6015,4087,Da wan
6024,2508,The Break-Up
6040,4935,Darkness Falls
6044,3394,Blind Date
6045,5558,Love and a Bullet
6073,4434,La decima vittima
6076,5316,Enigma
6092,3722,The Last American Virgin
6102,2745,The Mission
6130,2322,Soldier
6162,1393,Jerry Maguire
6180,6120,Q
6206,1246,Dead Poets Society
6216,1529,Nirgendwo in Afrika
6219,251,The Hunted
6233,3341,Born Yesterday
6260,4688,Black Robe
6294,886,Bulletproof Monk
6321,2154,How Stella Got Her Groove Back
6331,931,Spellbound
6342,3617,Road Trip
6436,388,This Boy's Life
6439,5378,Star Wars: Episode II - Attack of the Clones
6461,1266,Unforgiven
6481,3565,Where the Heart Is
6491,1170,Best of the Best 3: No Turning Back
6502,3534,28 Days Later...
6503,3977,Charlie's Angels: Full Throttle
6516,1688,Anastasia
6517,34,Babe
6525,275,Mixed Nuts
6539,6116,Pirates of the Caribbean: The Curse of the Black Pearl
6593,2014,Freaky Friday
6603,1176,La double vie de Véronique
6620,2864,American Splendor
6658,6211,Enchanted
6665,1339,Dracula
6665,2644,Dracula
6692,6575,Stoked: The Rise and Fall of Gator
6707,4145,Cabin Fever
6735,771,La môme
6742,5766,"I, Madman"
6743,362,The Jungle Book
6743,2078,The Jungle Book
6747,5076,The Adventures of Huck Finn
6754,1430,Underworld
6770,3502,My Life Without Me
6790,4174,The Mists of Avalon
6800,2777,Cobra
6803,802,Phenomenon
6812,5267,The Rookie
6823,3906,Under Suspicion
6837,270,Love Affair
6846,2472,Tough Guys Don't Dance
6852,394,In Cold Blood
6868,1657,Wonderland
6868,3823,Wonderland
6879,3937,Runaway Jury
6880,2459,The Texas Chainsaw Massacre
6893,6378,The Italian Job
6910,3934,Kronos
6929,4247,Joe Dirt
6932,6476,Shattered Glass
6944,934,Father of the Bride
6950,6101,The Missing
6974,6074,The Freshman
6978,5080,Slackers
6986,1287,Ben-Hur
7001,426,Invasion of the Body Snatchers
7001,1337,Invasion of the Body Snatchers
7001,2664,Invasion of the Body Snatchers
7007,528,The Last Boy Scout
7048,875,Nothing to Lose
7048,3065,Nothing to Lose
7054,261,Little Women
7054,4921,Little Women
7057,2622,A Midsummer Night's Dream
7074,2046,Flight of the Navigator
7079,783,The Hunchback of Notre Dame
7092,1496,Anna Karenina
7094,5666,The Rules of Attraction
7112,1483,Crash
7114,3005,The Bone Collector
7119,6395,Movie Crazy
7124,4796,The Grass Is Greener
7153,2116,The Lord of the Rings: The Return of the King
7154,2349,Mona Lisa Smile
7155,430,Calendar Girls
7164,2087,Peter Pan
7179,5035,Wuthering Heights
7188,2425,The General
7188,3022,The General
7195,4945,The Enforcer
7196,3793,X-Men
7197,832,Ransom
7210,7130,My Darling Clementine
7223,4496,DOA: Dead or Alive
7223,4838,DOA: Dead or Alive
7250,2574,The Out-of-Towners
7254,5716,The Butterfly Effect
7261,5572,Barbershop 2: Back in Business
7277,7018,Presumed Innocent
7288,2584,Foolish Wives
7302,5867,The Thief of Bagdad
7302,5974,The Thief of Bagdad
7308,4800,King Solomon's Mines
7310,1153,Raw Deal
7321,1723,Twisted
7332,1626,Fire Down Below
7334,1927,All Quiet on the Western Front
7338,41,Richard III
7360,4098,Dawn of the Dead
7367,5602,The Ladykillers
7379,4042,The Alamo
7381,2769,The Whole Ten Yards
7386,1520,The Ten Commandments
7387,4098,Dawn of the Dead
7387,7360,Dawn of the Dead
7395,7161,Cheaper by the Dozen
7399,7372,Ned Kelly
7417,7366,Jersey Girl
